feature_set,k,cluster_id,is_hotspot_cluster,region_count,mean_density,median_density,emission_sum,emission_contribution_pct
density_only,3,0,False,117,1966.4621829583332,1897.8732271075578,97463941.0,40.188731699408706
density_only,3,1,True,99,5642.599206058091,5083.601042877422,133979012.0,55.245524769205254
density_only,3,2,False,36,518.9340098081525,503.9439704243398,11072640.0,4.565743531386041
density_only,4,0,False,72,3086.766226302256,2961.9578319317498,70236789.0,28.961762058739044
density_only,4,1,True,71,6367.253747543638,5578.48390604826,102514462.0,42.271286861129795
density_only,4,2,False,33,488.6248390608231,488.5207362324853,9981673.0,4.115889158516913
density_only,4,3,False,76,1538.5291723763364,1608.2055515664542,59782669.0,24.651061921614254
density_only,5,0,False,46,1041.6069558650845,1098.08949667137,25724761.0,10.607466794928936
density_only,5,1,False,72,4614.8996972045925,4576.48718772897,75370722.0,31.078711709889927
density_only,5,2,False,87,2225.6546728419626,2135.722040234222,78368312.0,32.31475181886552
density_only,5,3,False,20,360.59116260869325,363.6572234771978,4443508.0,1.8322566170002934
density_only,5,4,True,27,8383.131229667422,7912.159182589598,58608290.0,24.166813059315324
density_spatial,3,0,True,110,4723.912124641894,4369.806603299388,123279911.0,50.8338080347683
density_spatial,3,1,False,111,2420.504058319121,1955.778401473042,102142935.0,42.11808970155581
density_spatial,3,2,False,31,615.1205475786672,512.4743633113176,17092747.0,7.048102263675887
density_spatial,4,0,False,58,2693.997969195294,2037.2139383016956,75578724.0,31.16448021550515
density_spatial,4,1,False,32,638.7534228028775,540.1085024128301,18346110.0,7.564919753427979
density_spatial,4,2,True,98,4635.656227444216,4209.21400446113,95938500.0,39.55972431018075
density_spatial,4,3,False,64,2756.07373635027,2182.55896327709,52652259.0,21.71087572088612
density_spatial,5,0,True,79,5314.987392088757,4906.044817477765,80790731.0,33.313623260505146
density_spatial,5,1,False,67,2670.2766031815986,2147.687020463705,54023275.0,22.276206792195833
density_spatial,5,2,False,41,1506.5911872012318,1612.9744155507897,30464285.0,12.56178401691474
density_spatial,5,3,False,43,3152.9791596877203,2583.648662970214,66308419.0,27.34191982451207
density_spatial,5,4,False,22,510.6428285894621,386.80785119778915,10928883.0,4.506466105872211
