CD,Region,지역유형
51150,강릉시,도시
51820,고성군,시골
51170,동해시,도시
51230,삼척시,시골
51210,속초시,도시
51800,양구군,시골
51830,양양군,시골
51750,영월군,시골
51130,원주시,도시
51810,인제군,시골
51770,정선군,시골
51780,철원군,시골
51110,춘천시,도시
51190,태백시,시골
51760,평창군,시골
51720,홍천군,시골
51790,화천군,시골
51730,횡성군,시골
41820,가평군,시골
41281,고양시 덕양구,도시
41285,고양시 일산동구,도시
41287,고양시 일산서구,도시
41290,과천시,도시
41210,광명시,도시
41610,광주시,도시
41310,구리시,도시
41410,군포시,도시
41570,김포시,도시
41360,남양주시,도시
41250,동두천시,도시
41192,부천시 원미구,도시
41194,부천시 소사구,도시
41196,부천시 오정구,도시
41135,성남시 분당구,도시
41131,성남시 수정구,도시
41133,성남시 중원구,도시
41113,수원시 권선구,도시
41117,수원시 영통구,도시
41111,수원시 장안구,도시
41115,수원시 팔달구,도시
41390,시흥시,도시
41273,안산시 단원구,도시
41271,안산시 상록구,도시
41550,안성시,도시
41173,안양시 동안구,도시
41171,안양시 만안구,도시
41630,양주시,도시
41830,양평군,시골
41670,여주시,도시
41800,연천군,시골
41370,오산시,도시
41463,용인시 기흥구,도시
41465,용인시 수지구,도시
41461,용인시 처인구,도시
41430,의왕시,도시
41150,의정부시,도시
41500,이천시,도시
41480,파주시,도시
41220,평택시,도시
41650,포천시,도시
41450,하남시,도시
41590,화성시,도시
48310,거제시,도시
48880,거창군,시골
48820,고성군,시골
48250,김해시,도시
48840,남해군,시골
48270,밀양시,시골
48240,사천시,도시
48860,산청군,시골
48330,양산시,도시
48720,의령군,시골
48170,진주시,도시
48740,창녕군,시골
48125,창원시 마산합포구,도시
48127,창원시 마산회원구,도시
48123,창원시 성산구,도시
48121,창원시 의창구,도시
48129,창원시 진해구,도시
48220,통영시,도시
48850,하동군,시골
48730,함안군,시골
48870,함양군,시골
48890,합천군,시골
47290,경산시,도시
47130,경주시,도시
47830,고령군,시골
47190,구미시,도시
47150,김천시,시골
47280,문경시,시골
47920,봉화군,시골
47250,상주시,시골
47840,성주군,시골
47170,안동시,시골
47770,영덕군,시골
47760,영양군,시골
47210,영주시,시골
47230,영천시,시골
47900,예천군,시골
47940,울릉군,시골
47930,울진군,시골
47730,의성군,시골
47820,청도군,시골
47750,청송군,시골
47850,칠곡군,도시
47111,포항시 남구,도시
47113,포항시 북구,도시
29200,광산구,도시
29155,남구,도시
29110,동구,도시
29170,북구,도시
29140,서구,도시
27720,군위군,시골
27200,남구,도시
27290,달서구,도시
27710,달성군,도시
27140,동구,도시
27230,북구,도시
27170,서구,도시
27260,수성구,도시
27110,중구,도시
30230,대덕구,도시
30110,동구,도시
30170,서구,도시
30200,유성구,도시
30140,중구,도시
26440,강서구,도시
26410,금정구,도시
26710,기장군,도시
26290,남구,도시
26170,동구,도시
26260,동래구,도시
26230,부산진구,도시
26320,북구,도시
26530,사상구,도시
26380,사하구,도시
26140,서구,도시
26500,수영구,도시
26470,연제구,도시
26200,영도구,도시
26110,중구,도시
26350,해운대구,도시
11680,강남구,도시
11740,강동구,도시
11305,강북구,도시
11500,강서구,도시
11620,관악구,도시
11215,광진구,도시
11530,구로구,도시
11545,금천구,도시
11350,노원구,도시
11320,도봉구,도시
11230,동대문구,도시
11590,동작구,도시
11440,마포구,도시
11410,서대문구,도시
11650,서초구,도시
11200,성동구,도시
11290,성북구,도시
11710,송파구,도시
11470,양천구,도시
11560,영등포구,도시
11170,용산구,도시
11380,은평구,도시
11110,종로구,도시
11140,중구,도시
11260,중랑구,도시
36110,세종시,도시
31140,남구,도시
31170,동구,도시
31200,북구,도시
31710,울주군,도시
31110,중구,도시
28710,강화군,도시
28245,계양구,도시
28200,남동구,도시
28140,동구,도시
28177,미추홀구,도시
28237,부평구,도시
28260,서구,도시
28185,연수구,도시
28720,옹진군,시골
28110,중구,도시
46810,강진군,시골
46770,고흥군,시골
46720,곡성군,시골
46230,광양시,도시
46730,구례군,시골
46170,나주시,도시
46710,담양군,시골
46110,목포시,도시
46840,무안군,도시
46780,보성군,시골
46150,순천시,도시
46910,신안군,시골
46130,여수시,도시
46870,영광군,시골
46830,영암군,시골
46890,완도군,시골
46880,장성군,시골
46800,장흥군,시골
46900,진도군,시골
46860,함평군,시골
46820,해남군,시골
46790,화순군,시골
52790,고창군,시골
52130,군산시,도시
52210,김제시,시골
52190,남원시,시골
52730,무주군,시골
52800,부안군,시골
52770,순창군,시골
52710,완주군,시골
52140,익산시,도시
52750,임실군,시골
52740,장수군,시골
52113,전주시 덕진구,도시
52111,전주시 완산구,도시
52180,정읍시,시골
52720,진안군,시골
50130,서귀포시,도시
50110,제주시,도시
44250,계룡시,도시
44150,공주시,시골
44710,금산군,시골
44230,논산시,도시
44270,당진시,도시
44180,보령시,도시
44760,부여군,시골
44210,서산시,도시
44770,서천군,시골
44200,아산시,도시
44810,예산군,시골
44131,천안시 동남구,도시
44133,천안시 서북구,도시
44790,청양군,시골
44825,태안군,시골
44800,홍성군,도시
43760,괴산군,시골
43800,단양군,시골
43720,보은군,시골
43740,영동군,시골
43730,옥천군,시골
43770,음성군,도시
43150,제천시,시골
43745,증평군,도시
43750,진천군,도시
43111,청주시 상당구,도시
43112,청주시 서원구,도시
43114,청주시 청원구,도시
43113,청주시 흥덕구,도시
43130,충주시,도시
