CD,Region,kg/km2
51150,강릉시,1243.20206
51820,고성군,454.1716482
51170,동해시,5179.280129
51230,삼척시,1105.886315
51210,속초시,364.0945626
51800,양구군,364.082539
51830,양양군,476.6601035
51750,영월군,362.2151657
51130,원주시,2060.274793
51810,인제군,125.0425222
51770,정선군,203.6744331
51780,철원군,2387.515307
51110,춘천시,654.5350316
51190,태백시,272.0999209
51760,평창군,343.5421305
51720,홍천군,686.1988278
51790,화천군,402.2803023
51730,횡성군,1595.019038
41820,가평군,605.0722574
41281,고양시 덕양구,1696.413043
41285,고양시 일산동구,6415.076718
41287,고양시 일산서구,3606.696429
41290,과천시,718.3161416
41210,광명시,2973.494289
41610,광주시,984.3755076
41310,구리시,1948.470306
41410,군포시,2839.785832
41570,김포시,3484.298626
41360,남양주시,1211.278458
41250,동두천시,5840.399289
41192,부천시 원미구,5650.953984
41194,부천시 소사구,5650.953984
41196,부천시 오정구,5650.953984
41135,성남시 분당구,5722.333716
41131,성남시 수정구,1610.231023
41133,성남시 중원구,2556.131718
41113,수원시 권선구,3020.199237
41117,수원시 영통구,5962.937568
41111,수원시 장안구,3717.186563
41115,수원시 팔달구,6981.274281
41390,시흥시,1757.567529
41273,안산시 단원구,2562.699299
41271,안산시 상록구,2596.827039
41550,안성시,8918.875901
41173,안양시 동안구,12183.13582
41171,안양시 만안구,1849.425602
41630,양주시,4137.21859
41830,양평군,1099.100043
41670,여주시,4174.515381
41800,연천군,1692.816473
41370,오산시,4317.662216
41463,용인시 기흥구,3371.729544
41465,용인시 수지구,11098.93137
41461,용인시 처인구,4053.817031
41430,의왕시,1090.801407
41150,의정부시,3081.385653
41500,이천시,11594.00598
41480,파주시,1957.27788
41220,평택시,6313.290435
41650,포천시,5534.65793
41450,하남시,2668.72782
41590,화성시,5049.163622
48310,거제시,394.8920471
48880,거창군,1890.13135
48820,고성군,4529.869503
48250,김해시,6879.421853
48840,남해군,1045.058416
48270,밀양시,1779.610362
48240,사천시,1192.638283
48860,산청군,1086.15344
48330,양산시,1439.20733
48720,의령군,2736.85987
48170,진주시,1645.362864
48740,창녕군,3428.999193
48125,창원시 마산합포구,1419.950249
48127,창원시 마산회원구,1371.691866
48123,창원시 성산구,1827.898103
48121,창원시 의창구,1823.597376
48129,창원시 진해구,764.221219
48220,통영시,341.3905214
48850,하동군,2613.696135
48730,함안군,3666.241809
48870,함양군,1222.567025
48890,합천군,2239.486533
47290,경산시,2707.555599
47130,경주시,2380.052832
47830,고령군,3997.733188
47190,구미시,3022.509261
47150,김천시,2182.57908
47280,문경시,1374.226194
47920,봉화군,1212.743826
47250,상주시,1965.903675
47840,성주군,1801.144202
47170,안동시,1126.308736
47770,영덕군,402.1179581
47760,영양군,151.8366897
47210,영주시,4460.339914
47230,영천시,2900.475398
47900,예천군,2285.929139
47940,울릉군,302.7112146
47930,울진군,266.5041438
47730,의성군,1822.023004
47820,청도군,1335.503912
47750,청송군,362.2067531
47850,칠곡군,2179.137568
47111,포항시 남구,2150.937698
47113,포항시 북구,1270.369365
29200,광산구,1418.043019
29155,남구,1754.265092
29110,동구,685.8880779
29170,북구,1511.2922
29140,서구,2687.159615
27720,군위군,1182.696596
27200,남구,3006.540448
27290,달서구,4416.738817
27710,달성군,1064.739938
27140,동구,1243.341936
27230,북구,1852.210975
27170,서구,5437.009238
27260,수성구,3044.604129
27110,중구,178.2439185
30230,대덕구,1269.086413
30110,동구,569.3466969
30170,서구,1891.971949
30200,유성구,1197.955948
30140,중구,1257.452967
26440,강서구,1673.221344
26410,금정구,1013.28125
26710,기장군,496.6153705
26290,남구,3065.0261
26170,동구,2933.102767
26260,동래구,4984.305472
26230,부산진구,3439.332659
26320,북구,1997.586995
26530,사상구,1694.875346
26380,사하구,7947.55864
26140,서구,2190.909091
26500,수영구,4968.688845
26470,연제구,4824.938068
26200,영도구,2401.901408
26110,중구,5342.192691
26350,해운대구,2221.81677
11680,강남구,4236.987342
11740,강동구,5344.123627
11305,강북구,3393.559322
11500,강서구,4117.177322
11620,관악구,4552.992898
11215,광진구,5598.710434
11530,구로구,5530.864811
11545,금천구,5077.956989
11350,노원구,4129.768623
11320,도봉구,4200.871671
11230,동대문구,6786.990155
11590,동작구,7985.853293
11440,마포구,10736.6457
11410,서대문구,4919.625638
11650,서초구,2686.118799
11200,성동구,4887.098692
11290,성북구,4913.100081
11710,송파구,5680.165289
11470,양천구,7347.673751
11560,영등포구,4466.191446
11170,용산구,2959.807956
11380,은평구,4425.143049
11110,종로구,1859.640318
11140,중구,4017.068273
11260,중랑구,5814.486486
36110,세종시,5121.139453
31140,남구,12343.20454
31170,동구,1480.87053
31200,북구,1013.816333
31710,울주군,1599.614969
31110,중구,1814.513514
28710,강화군,1377.394813
28245,계양구,2241.979372
28200,남동구,5463.56832
28140,동구,3598.62069
28177,미추홀구,5466.867955
28237,부평구,4952.827241
28260,서구,8227.918696
28185,연수구,3055.970813
28720,옹진군,7954.524429
28110,중구,770.5727312
46810,강진군,2507.781992
46770,고흥군,2053.348117
46720,곡성군,1694.151181
46230,광양시,2602.372757
46730,구례군,1290.556709
46170,나주시,6176.660257
46710,담양군,2420.994572
46110,목포시,5547.844578
46840,무안군,6839.517452
46780,보성군,1888.620051
46150,순천시,1957.027134
46910,신안군,816.7063093
46130,여수시,3383.331056
46870,영광군,3346.317564
46830,영암군,4119.030746
46890,완도군,626.2000151
46880,장성군,2017.115848
46800,장흥군,2858.634596
46900,진도군,667.6353639
46860,함평군,7096.748279
46820,해남군,1633.221704
46790,화순군,1224.261595
52790,고창군,4598.553039
52130,군산시,4979.335209
52210,김제시,5876.8508
52190,남원시,3269.677831
52730,무주군,486.5645667
52800,부안군,4017.179798
52770,순창군,2599.52211
52710,완주군,1524.176386
52140,익산시,5583.375116
52750,임실군,2132.72435
52740,장수군,2053.736074
52113,전주시 덕진구,2958.218816
52111,전주시 완산구,8051.021732
52180,정읍시,6590.050483
52720,진안군,660.9004739
50130,서귀포시,1951.54502
50110,제주시,4569.123492
44250,계룡시,862.1519196
44150,공주시,2578.056147
44710,금산군,871.4298089
44230,논산시,4625.562247
44270,당진시,8272.198917
44180,보령시,6321.257199
44760,부여군,2477.467382
44210,서산시,2051.127607
44770,서천군,2581.279362
44200,아산시,4037.5958
44810,예산군,6552.334537
44131,천안시 동남구,8522.507356
44133,천안시 서북구,6317.789239
44790,청양군,2520.158874
44825,태안군,4222.542389
44800,홍성군,14769.01431
43760,괴산군,1964.904217
43800,단양군,605.5130424
43720,보은군,1887.580872
43740,영동군,646.2622947
43730,옥천군,1776.401504
43770,음성군,3996.033608
43150,제천시,795.241116
43745,증평군,3540.391198
43750,진천군,3656.829005
43111,청주시 상당구,1622.277742
43112,청주시 서원구,2423.502079
43114,청주시 청원구,4996.786196
43113,청주시 흥덕구,4566.335192
43130,충주시,1902.866993
