CD,Region,민원 수
51150,강릉시,972
51820,고성군,972
51170,동해시,972
51230,삼척시,972
51210,속초시,972
51800,양구군,972
51830,양양군,972
51750,영월군,972
51130,원주시,972
51810,인제군,972
51770,정선군,972
51780,철원군,972
51110,춘천시,972
51190,태백시,972
51760,평창군,972
51720,홍천군,972
51790,화천군,972
51730,횡성군,972
41820,가평군,6418
41281,고양시 덕양구,6418
41285,고양시 일산동구,6418
41287,고양시 일산서구,6418
41290,과천시,6418
41210,광명시,6418
41610,광주시,6418
41310,구리시,6418
41410,군포시,6418
41570,김포시,6418
41360,남양주시,6418
41250,동두천시,6418
41192,부천시 원미구,6418
41194,부천시 소사구,6418
41196,부천시 오정구,6418
41135,성남시 분당구,6418
41131,성남시 수정구,6418
41133,성남시 중원구,6418
41113,수원시 권선구,6418
41117,수원시 영통구,6418
41111,수원시 장안구,6418
41115,수원시 팔달구,6418
41390,시흥시,6418
41273,안산시 단원구,6418
41271,안산시 상록구,6418
41550,안성시,6418
41173,안양시 동안구,6418
41171,안양시 만안구,6418
41630,양주시,6418
41830,양평군,6418
41670,여주시,6418
41800,연천군,6418
41370,오산시,6418
41463,용인시 기흥구,6418
41465,용인시 수지구,6418
41461,용인시 처인구,6418
41430,의왕시,6418
41150,의정부시,6418
41500,이천시,6418
41480,파주시,6418
41220,평택시,6418
41650,포천시,6418
41450,하남시,6418
41590,화성시,6418
48310,거제시,4568
48880,거창군,4568
48820,고성군,4568
48250,김해시,4568
48840,남해군,4568
48270,밀양시,4568
48240,사천시,4568
48860,산청군,4568
48330,양산시,4568
48720,의령군,4568
48170,진주시,4568
48740,창녕군,4568
48125,창원시 마산합포구,4568
48127,창원시 마산회원구,4568
48123,창원시 성산구,4568
48121,창원시 의창구,4568
48129,창원시 진해구,4568
48220,통영시,4568
48850,하동군,4568
48730,함안군,4568
48870,함양군,4568
48890,합천군,4568
47290,경산시,4568
47130,경주시,4568
47830,고령군,4568
47190,구미시,4568
47150,김천시,4568
47280,문경시,4568
47920,봉화군,4568
47250,상주시,4568
47840,성주군,4568
47170,안동시,4568
47770,영덕군,4568
47760,영양군,4568
47210,영주시,4568
47230,영천시,4568
47900,예천군,4568
47940,울릉군,4568
47930,울진군,4568
47730,의성군,4568
47820,청도군,4568
47750,청송군,4568
47850,칠곡군,4568
47111,포항시 남구,4568
47113,포항시 북구,4568
29200,광산구,830
29155,남구,830
29110,동구,830
29170,북구,830
29140,서구,830
27720,군위군,1973
27200,남구,1973
27290,달서구,1973
27710,달성군,1973
27140,동구,1973
27230,북구,1973
27170,서구,1973
27260,수성구,1973
27110,중구,1973
30230,대덕구,1295
30110,동구,1295
30170,서구,1295
30200,유성구,1295
30140,중구,1295
26440,강서구,1432
26410,금정구,1432
26710,기장군,1432
26290,남구,1432
26170,동구,1432
26260,동래구,1432
26230,부산진구,1432
26320,북구,1432
26530,사상구,1432
26380,사하구,1432
26140,서구,1432
26500,수영구,1432
26470,연제구,1432
26200,영도구,1432
26110,중구,1432
26350,해운대구,1432
11680,강남구,2040
11740,강동구,2040
11305,강북구,2040
11500,강서구,2040
11620,관악구,2040
11215,광진구,2040
11530,구로구,2040
11545,금천구,2040
11350,노원구,2040
11320,도봉구,2040
11230,동대문구,2040
11590,동작구,2040
11440,마포구,2040
11410,서대문구,2040
11650,서초구,2040
11200,성동구,2040
11290,성북구,2040
11710,송파구,2040
11470,양천구,2040
11560,영등포구,2040
11170,용산구,2040
11380,은평구,2040
11110,종로구,2040
11140,중구,2040
11260,중랑구,2040
36110,세종시,347
31140,남구,763
31170,동구,763
31200,북구,763
31710,울주군,763
31110,중구,763
28710,강화군,1856
28245,계양구,1856
28200,남동구,1856
28140,동구,1856
28177,미추홀구,1856
28237,부평구,1856
28260,서구,1856
28185,연수구,1856
28720,옹진군,1856
28110,중구,1856
46810,강진군,2051
46770,고흥군,2051
46720,곡성군,2051
46230,광양시,2051
46730,구례군,2051
46170,나주시,2051
46710,담양군,2051
46110,목포시,2051
46840,무안군,2051
46780,보성군,2051
46150,순천시,2051
46910,신안군,2051
46130,여수시,2051
46870,영광군,2051
46830,영암군,2051
46890,완도군,2051
46880,장성군,2051
46800,장흥군,2051
46900,진도군,2051
46860,함평군,2051
46820,해남군,2051
46790,화순군,2051
52790,고창군,3895
52130,군산시,3895
52210,김제시,3895
52190,남원시,3895
52730,무주군,3895
52800,부안군,3895
52770,순창군,3895
52710,완주군,3895
52140,익산시,3895
52750,임실군,3895
52740,장수군,3895
52113,전주시 덕진구,3895
52111,전주시 완산구,3895
52180,정읍시,3895
52720,진안군,3895
50130,서귀포시,2086
50110,제주시,2086
44250,계룡시,4737
44150,공주시,4737
44710,금산군,4737
44230,논산시,4737
44270,당진시,4737
44180,보령시,4737
44760,부여군,4737
44210,서산시,4737
44770,서천군,4737
44200,아산시,4737
44810,예산군,4737
44131,천안시 동남구,4737
44133,천안시 서북구,4737
44790,청양군,4737
44825,태안군,4737
44800,홍성군,4737
43760,괴산군,1490
43800,단양군,1490
43720,보은군,1490
43740,영동군,1490
43730,옥천군,1490
43770,음성군,1490
43150,제천시,1490
43745,증평군,1490
43750,진천군,1490
43111,청주시 상당구,1490
43112,청주시 서원구,1490
43114,청주시 청원구,1490
43113,청주시 흥덕구,1490
43130,충주시,1490
