CD,Region,대분류
51210,속초시,농업
41281,고양시 덕양구,농업
41287,고양시 일산서구,농업
41290,과천시,농업
41210,광명시,농업
41310,구리시,농업
41410,군포시,농업
41360,남양주시,농업
41192,부천시 원미구,농업
41194,부천시 소사구,농업
41196,부천시 오정구,농업
41131,성남시 수정구,비산먼지
41133,성남시 중원구,농업
41113,수원시 권선구,농업
41117,수원시 영통구,생산공정
41111,수원시 장안구,농업
41115,수원시 팔달구,농업
41390,시흥시,농업
41273,안산시 단원구,생산공정
41271,안산시 상록구,농업
41171,안양시 만안구,비산먼지
41430,의왕시,농업
41150,의정부시,농업
48310,거제시,농업
48123,창원시 성산구,제조업 연소
48129,창원시 진해구,농업
48220,통영시,농업
29200,광산구,농업
29155,남구,농업
29110,동구,비산업 연소
29170,북구,농업
29140,서구,농업
27200,남구,농업
27290,달서구,농업
27140,동구,농업
27230,북구,농업
27170,서구,생산공정
27260,수성구,농업
27110,중구,농업
30230,대덕구,생산공정
30110,동구,농업
30170,서구,농업
30200,유성구,제조업 연소
30140,중구,농업
26410,금정구,비산업 연소
26710,기장군,농업
26290,남구,생산공정
26170,동구,비산업 연소
26260,동래구,농업
26230,부산진구,비산업 연소
26320,북구,비산업 연소
26530,사상구,비산업 연소
26140,서구,비산업 연소
26500,수영구,비산업 연소
26470,연제구,비산업 연소
26200,영도구,비산업 연소
26110,중구,비산업 연소
26350,해운대구,비산업 연소
11680,강남구,비산업 연소
11740,강동구,비산업 연소
11305,강북구,비산업 연소
11500,강서구,농업
11620,관악구,비산업 연소
11215,광진구,비산업 연소
11530,구로구,비산업 연소
11545,금천구,비산업 연소
11350,노원구,생산공정
11320,도봉구,비산업 연소
11230,동대문구,비산업 연소
11590,동작구,비산업 연소
11410,서대문구,비산업 연소
11650,서초구,비산업 연소
11200,성동구,비산업 연소
11290,성북구,비산업 연소
11710,송파구,비산업 연소
11470,양천구,생산공정
11560,영등포구,비산업 연소
11170,용산구,비산업 연소
11380,은평구,비산업 연소
11110,종로구,비산업 연소
11140,중구,비산업 연소
11260,중랑구,비산업 연소
31170,동구,제조업 연소
31200,북구,농업
31110,중구,농업
28245,계양구,비산먼지
28140,동구,제조업 연소
28177,미추홀구,농업
28237,부평구,농업
28185,연수구,생산공정
28110,중구,제조업 연소
